,titles,targets,dates
15,2023년 제2차 영도문화도시센터 직원채용공고,,
16,🎢우리 영도에 나도? _2023 연결프로젝트 소개,,
17,2023 영도 디자이너 클럽 | 문화도시 영도 브랜드 특강 2회차,폰트 디자인와 도시 브랜드 서체에 관심 있는 사람 누구나 *선착순 마감,선착순 마감
18,🔨2023 영도 디자인 잇기 모집 (~10.12.목),"영도 내 공공기관 10곳 내외 
*예시: 복지관, 주민센터, 학교, 공립유치원, 공공기관 부속 사회적 기업 등",2023. 9. 22.금 - 10.12.목
19,🧙‍♀시민 브랜딩 스쿨 참여자 모집 (~10.11.수),"디자인 감각을 높이고 싶은 영도 주민 *초등,청소년,성인 누구나",2023.9.21.(목) ~ 10.11.(수)
20,🐋고래뱃속 아지트 – 참여자 모집 (~10/4까지),,2023. 9. 20.(수) ~ 10. 4.(수)
21,🤠문화도시 영도 ‘한 선 잇기 브랜드 홍보단’ 출동,문화도시 영도 브랜드에 관심있는 누구나,회차별 행사 2일 전까지 *선착순 마감
22,😜2023 문화예술교육자 양성과정 <문화예술교육 도구찾기> 참가자 모집!,"영도에서 문화예술교육자로 활동하고 싶은 누구나 30명
* 우대사항:영도주민 및 영도구 재학, 근무 중인 타지역 주민
** 신청불가: 이전 문화예술교육자 과정 기수료자",2023.8.21(월)~9.8(금) 18:00까지
23,🌊 2023 문화도시 박람회 & 국제 컨퍼런스 🌊,문화도시에 관심있는 누구나,
24,디지털 아카이브 <아카이브 영도> 오픈 이벤트🤍,누구나,선착순 진행
25,영도의 오래된 자료를 모으는 💎기억전당포💎,영도의 2000년 이전의 사진 및 자료를 가지고 계신 분 누구나,-
26,🌊 2023 <전국 문화기획자 쇼케이스 W.W.W> 참가자 모집❕,전국 문화도시 내 활동 중인 문화기획자 100팀,2023. 6. 30. ~ 7. 21.
27,🌼2023 똑똑똑 예술가 참여주민 및 예술가 모집🌼,문화예술로 외로움을 치유할 지역주민 및 지역 예술가,6. 29.(목) ~ 7. 12.(수)
28,🏴‍☠해적의 탄생 – 참여자 모집 (~7/5까지),영도 아동·청소년 40명,2023. 6. 22.(목) ~ 7. 5.(수)
29,✴️2023 영도 문화도시 아카데미 수강생 모집✴️,영도에 관심이 있는 누구나,2023년 6월 16일(금) ~ 6월 29일(목) 18시까지
30,🏝2023년 영도문화도시센터 여름 창의예술학교 모집!,영도구 거주 초등학생,
31,2023년 영도 문화도시 연결기획자 지원사업 모집(❗모집기간연장 ~6/23일 23:59까지❗),활동경력 3년 이하 문화기획자,2023. 5. 30. ~ 6. 23.
32,2023년 웹진 <다리너머 영도> 시민기자단 모집,"영도문화도시 사업에 관심 있는 분
지역 사회 문제, 문화예술적 시도에 관심 있는 분
같은 관점과 문제의식을 지닌 주민을 만나고 싶은 분
글쓰기, 콘텐츠 제작에 관심 있는 분",2023.6.9.(금) ~ 6.20.(화) 23:59
33,2023년 <영도 디자이너 클럽> 모집,(예비) 디자이너 및 디자인에 관심 있는 문화기획자 40명 내외,2023. 6. 5.(월) ~ 6. 30.(금) 18:00까지
34,🧑‍🤝‍🧑2023 <예술마을PD> 모집🧑‍🤝‍🧑,커뮤니티 커넥터가 되고 싶은 영도 주민 누구나,2023. 5. 25.(목) ~ 6. 12.(월)
35,"문화예술교육, 부산에서 더 가까이",부산 내/외 문화예술교육 관계자,게시일로부터 ~ 5/23(화) 15:00까지
36,👀2023 영도 기획자의 집 참여자 모집,문화기획에 관심 있는 입문단계 시민 60명 내외,2023.5.10~5.31
37,🌱2023 영도 정원탐사대 모집🌱,문화정원 및 커뮤니티 정원에 관심이 있는 성인,2023. 5. 09 ~ 5. 30
38,2023 <내-일의 항해캠프> 항해자 모집,타지역 청년문화예술인 30명,2023.5.1~2023.5.31
39,2023년 웹진 <다리너머 영도> 입찰 공고 및 제안서 평가위원회 모집,,
40,🏠2023년 영도문화도시 연결공간 모집!,"영도구 내 문화예술인, 기획자들을 위해 운영중인 공간을 제공할 의지가 있는 누구나",2023. 4. 3.(월) ~ 4. 27.(목)
